symbol,gics8,kmeans.text_068
FUEL,45101010,26
GAIA,25502020,26
GCI,25401040,26
GLUU,45103010,26
GME,25504020,26
GPRO,25201010,26
HEAR,25201010,26
HLIT,45201020,26
IMMR,45202030,26
INOD,45102020,26
INUV,45101010,26
IPG,25401010,26
JCOM,45101010,26
LAMR,60101080,26
LEE,25401040,26
LLNW,45101010,26
LYV,25401030,26
MARK,45101010,26
MCHX,45101010,26
MEET,45101010,26
MHH,20202010,26
MNI,25401040,26
NCMI,25401010,26
NEWM,25401040,26
NTIP,45201020,26
NWSA,25401040,26
NYT,25401040,26
OMC,25401010,26
OUT,60101080,26
P,45101010,26
PCO,20202020,26
PN,40301010,26
PXLW,45301020,26
QUMU,45101010,26
RATE,45101010,26
RLJE,25401030,26
RMGN,45203010,26
RNWK,45101010,26
RRD,20201010,26
RUBI,45103020,26
SALE,45101010,26
SEAC,45103010,26
SOFO,45103020,26
SSTK,45101010,26
SYNC,45101010,26
TIME,25401040,26
TIVO,45103020,26
TRMR,45101010,26
TST,40203040,26
TTGT,45101010,26
TTWO,45103030,26
TWTR,45101010,26
TYPE,45103010,26
VII,45203010,26
VUZI,25201010,26
VVI,20201070,26
XOXO,45101010,26
YHOO,45101010,26
YUME,45101010,26
ZNGA,45103030,26
AGX,20103010,27
DY,20103010,27
EME,20103010,27
EXP,15102010,27
FAST,20107010,27
FSTR,20106020,27
GLDD,20103010,27
GV,20103010,27
GVA,20103010,27
IESC,20103010,27
IIIN,20102010,27
MLM,15102010,27
MTRX,10101020,27
MTZ,20103010,27
MYRG,20103010,27
ORN,20103010,27
PRIM,20103010,27
SSD,20102010,27
STRL,20103010,27
SUM,15102010,27
TEX,20106010,27
TPC,20103010,27
USCR,15102010,27
VMC,15102010,27
WG,10101020,27
AMCX,25401020,28
BBGI,25401020,28
CBS,25401020,28
CMCSA,25401025,28
CMLS,25401020,28
DIS,25401030,28
DISCA,25401020,28
EMMS,25401020,28
ETM,25401020,28
EVC,25401020,28
FOXA,25401030,28
GTN,25401020,28
HMTV,25401020,28
MDP,25401040,28
NFLX,25502020,28
NXST,25401020,28
SALM,25401020,28
SBGI,25401020,28
SGA,25401020,28
SIRI,25401025,28
SNI,25401020,28
SSP,25401020,28
TRCO,25401020,28
TSQ,25401020,28
TWX,25401030,28
VIAB,25401030,28
WWE,25401030,28
AA,15104010,29
AAC,35102020,29
ACTG,20202020,29
AEGN,20103010,29
AIN,20106020,29
AJX,40204010,29
ALCO,30202010,29
ALGN,35101020,29
ALK,20302010,29
ALQA,35101020,29
AMWD,20102010,29
APD,15101040,29
APDN,45203010,29
APOG,20102010,29
ARII,20106010,29
ASFI,40202010,29
ASPN,10101020,29
ASTC,20101010,29
ATRS,35101020,29
AVD,15101030,29
AVY,15103020,29
AWI,20102010,29
AYI,20104010,29
AZZ,20104020,29
BC,25202010,29
BCC,15105010,29
BECN,20107010,29
BLDR,20102010,29
BOOM,20106020,29
BRC,20201010,29
BRKS,45301010,29
BXC,20107010,29
CBOE,40203040,29
CBPX,20102010,29
CDTI,25101010,29
CENX,15104010,29
CFI,25203030,29
CGNX,45203010,29
CLF,15104050,29
CLIR,45203010,29
CMT,15101010,29
CNK,25401030,29
COOL,45103030,29
CRDS,45202030,29
CRR,10101020,29
CSV,25302020,29
CTAS,20201070,29
CVO,20201010,29
CXW,60101080,29
DJCO,25401040,29
DOOR,20102010,29
DSS,45103020,29
DVD,25301030,29
DWSN,10101020,29
DYNT,35101010,29
EFII,45202030,29
EFOI,20104010,29
ELMD,35101010,29
ELON,45203020,29
EMAN,45203020,29
EMES,10102030,29
ETRM,35101010,29
EVA,10102050,29
EYES,35101010,29
FEIM,45203010,29
FMSA,10101020,29
FONR,35101010,29
FTEK,20201050,29
FTK,15101050,29
FUN,25301030,29
GEO,60101080,29
GEOS,10101020,29
GFF,20102010,29
GIGA,45203010,29
GOOGL,45101010,29
GRA,15101050,29
GT,25101020,29
GVP,45103010,29
HA,20302010,29
HAYN,15104050,29
HBP,20107010,29
HCLP,10101020,29
HDNG,20106020,29
HDSN,20201050,29
HOG,25102020,29
HPQ,45202030,29
HRB,25302020,29
HSC,20106020,29
HURC,20106020,29
IBP,25201030,29
ICCC,35201010,29
IMI,45301020,29
INGN,35101010,29
INVT,45201020,29
IO,10101020,29
IPI,15101030,29
IRBT,25201040,29
IRMD,35101010,29
ISCA,25301030,29
JBT,20106020,29
