symbol,gics8,hier.text_008
ELY,25202010,2
EMAN,45203020,3
EMCI,40301040,2
EME,20103010,4
EMES,10102030,4
EMKR,45201020,7
EML,20106020,3
EMMS,25401020,0
EMN,15101020,2
EMR,20104010,6
ENBL,10102040,6
ENG,10101020,4
ENLC,10102040,6
ENLK,10102030,2
ENOC,45103010,5
ENPH,20104010,5
ENR,30301010,3
ENRJ,10102020,0
ENS,20104010,3
ENSG,35102020,4
ENSV,10101020,4
ENT,25401030,6
ENTA,35201010,0
ENTG,45301010,3
ENTL,35101010,3
ENV,45101010,5
ENZ,35203010,6
EOG,10102020,0
EPAM,45102010,5
EPAY,45103010,6
EPD,10102040,4
EPE,10102020,0
EPM,10102020,0
EPR,60101080,2
EPZM,35201010,0
EQC,60101040,0
EQGP,10102040,6
EQIX,60101080,4
EQM,10102040,6
EQR,60101060,0
EQT,10102020,2
ERA,10101020,4
ERI,25301010,0
ERIE,40301040,1
ERII,20106020,2
ERN,10102020,0
ES,55101010,2
ESBA,60101010,2
ESCA,25202010,3
ESE,20106020,2
ESIO,45203010,3
ESL,20101010,2
ESP,20104010,1
ESPR,35201010,0
ESRT,60101010,2
ESRX,35102015,4
ESS,60101060,0
ESSA,40102010,1
ESTE,10102020,2
ESXB,40101015,1
ETE,10102040,6
ETFC,40203020,1
ETH,25201020,2
ETM,25401020,0
ETR,55101010,2
ETRM,35101010,0
ETSY,25502020,4
EV,40203010,1
EVA,10102050,0
EVBS,40101015,1
EVC,25401020,2
EVEP,10102020,0
EVER,40102010,1
EVHC,35102015,1
EVI,20107010,2
EVLV,25502020,3
EVOK,35202010,0
EVOL,45103010,4
EVR,40203020,5
EVTC,45102020,4
EW,35101010,3
EWBC,40101015,2
EXA,45103010,1
EXAC,35101010,6
EXAS,35201010,0
EXC,55101010,4
EXEL,35201010,0
EXLS,45102020,4
EXP,15102010,2
EXPD,20301010,1
EXPE,25502020,6
EXPO,20202020,6
EXPR,25504010,7
EXR,60101080,6
EXTR,45201020,5
EXXI,10102020,0
EYES,35101010,7
EZPW,40202010,1
F,25102010,6
FAC,40301040,3
FAF,40301040,4
FALC,45103020,1
FANG,10102020,0
FARM,30202030,3
FARO,45203010,3
FAST,20107010,7
FATE,35201010,0
FB,45101010,3
FBC,40102010,6
FBHS,20102010,2
FBIO,35201010,0
FBIZ,40101015,1
FBMS,40101015,1
FBNC,40101015,1
FBNK,40101015,1
FBP,40101015,6
FBRC,40203020,4
FC,20202020,6
FCBC,40101015,1
FCCO,40101015,1
FCCY,40101015,2
FCEL,20104010,2
FCF,40101015,1
FCFS,40202010,6
FCH,60101030,0
FCN,20202020,4
FCNCA,40101015,4
FCSC,35201010,0
FCX,15104025,2
FDEF,40102010,1
FDP,30202010,3
FDS,40203040,4
FDUS,40203010,1
FDX,20301010,4
FE,55101010,6
FEIM,45203010,3
FELE,20106020,2
FELP,10102050,0
FENX,25501010,7
FET,10101020,6
FEYE,45103020,1
FF,15101050,3
FFBC,40101015,1
FFG,40301020,6
FFIC,40101015,1
FFIN,40101015,1
FFIV,45201020,1
FFKT,40101015,1
FFNW,40101015,1
FGEN,35201010,0
FGL,40301020,7
FGP,55102010,2
FHCO,30302010,7
FHN,40101015,4
FIBK,40101015,1
FICO,45103010,5
FIG,40203010,6
FII,40203010,6
FINL,25504010,0
FIS,45102020,4
FISI,40101015,6
FISV,45102020,4
FITB,40101015,4
FIVE,25504040,1
FIVN,45101010,5
FIX,20103010,4
FIZZ,30201030,7
FL,25504010,2
FLIC,40101015,4
FLIR,45203010,2
FLKS,35202010,2
FLL,25301010,6
FLO,30202030,2
FLR,20103010,4
FLS,20106020,6
FLT,45102020,1
FLWS,25502020,2
FLXN,35201010,0
FLXS,25201020,3
FMBI,40101015,1
FMC,15101030,2
FMI,35201010,7
FMNB,40101015,4
FMSA,10101020,3
FNB,40101015,4
FNF,40301040,6
FNFV,40201030,6
FNGN,40203010,5
FNHC,40301040,0
FNJN,45103020,1
FNLC,40101015,1
FNSR,45201020,1
FNWB,40101015,1
FOE,15101050,3
FOLD,35201010,0
FONR,35101010,4
FOR,60102030,2
FORD,25203010,6
FORM,45301010,3
FORR,45102010,6
FOSL,25203010,2
FOXA,25401030,2
FOXF,25101010,3
FPI,60101080,0
FPO,60101010,0
FPP,10102020,0
FPRX,35201010,0
FR,60101020,0
FRAN,25504010,7
FRBA,40101015,1
FRBK,40101015,1
FRC,40101015,4
FRD,15104050,3
FRED,25503020,7
FRGI,25301040,2
FRME,40101015,4
FRP,50101020,4
FRPH,60102020,6
FRPT,30202030,3
FRT,60101070,0
FSAM,40203010,5
FSB,40101015,1
FSBK,40101015,1
FSC,40203010,1
FSFR,40203010,0
FSIC,40203010,1
FSLR,45301020,6
FSNN,50101010,4
FSP,60101040,0
FSS,20106010,6
FSTR,20106020,6
FTAI,20107010,2
FTD,25502020,6
FTEK,20201050,2
FTK,15101050,2
FTNT,45103020,5
FTR,50101020,4
FUEL,45101010,0
FUL,15101050,3
FULT,40101015,1
FUN,25301030,0
FUNC,40101015,1
FVE,35102020,6
FWRD,20301010,4
GABC,40101015,6
GAIA,25502020,2
GAIN,40203010,0
GALE,35201010,0
GALT,35201010,0
GBCI,40101015,1
GBDC,40203010,0
GBL,40203010,5
GBNK,40101015,1
GBR,10102020,0
GBX,20106010,4
GCAP,40203020,4
GCI,25401040,0
GCO,25504010,2
GD,20101010,1
GDDY,45101010,1
GDOT,40202010,4
GE,20105010,6
GEF,15103010,6
GEL,10102040,6
GEN,35102020,4
GENC,20106020,7
GEO,60101080,4
GEOS,10101020,6
GERN,35201010,7
GES,25504010,2
GEVO,10102030,2
GFF,20102010,3
GFN,20107010,1
GGG,20106020,2
GGP,60101070,6
GHDX,35201010,1
GHL,40203020,0
GHM,20106020,7
GIFI,10101020,4
GIGA,45203010,2
GIII,25203010,3
GILD,35201010,3
GIMO,45103020,1
GIS,30202030,3
GLAD,40203010,1
GLDD,20103010,4
GLP,10102040,2
GLPI,60101080,2
GLT,15105020,3
GLUU,45103010,0
GLW,45203015,2
GM,25102010,0
GME,25504020,3
GMED,35101010,3
GMO,15104020,0
GNBC,40101015,1
