symbol,mc
FRBA,102.24M  
FRBK,501.27M  
FRC,14.18B  
FRD,37.78M  
FRED,514.06M  
FRGI,624.88M  
FRME,1.63B  
FRP,382.81M  
FRPH,416.53M  
FRPT,474.19M  
FRSH,84.93M  
FRT,9.17B  
FSAM,235.33M  
FSB,526.33M  
FSBK,130.45M  
FSC,596.97M  
FSFR,227.19M  
FSIC,2.21B  
FSLR,3.79B  
FSNN,33.17M  
FSP,1.21B  
FSS,963.17M  
FSTR,185.46M  
FTAI,1.21B  
FTD,511.65M  
FTEK,20.9M  
FTI,14.97B  
FTK,593.16M  
FTNT,7.04B  
FTR,1.72B  
FUEL,137.47M  
FUL,2.53B  
FULT,3.05B  
FUN,3.97B  
FUNC,92.15M  
FVE,94.99M  
FWRD,1.5B  
GABC,700.49M  
GAIA,160.62M  
GAIN,295.22M  
GALE,21.02M  
GALT,84.48M  
GBCI,2.52B  
GBDC,1.16B  
GBL,844.58M  
GBNK,727.29M  
GBR,2.86M  
GBSN,2.05M  
GBX,1.26B  
GCAP,283.22M  
GCI,843.18M  
GCO,882.7M  
GD,59.09B  
GDDY,6.75B  
GDOT,1.78B  
GDP,118.87M  
GE,243.59B  
GEF,2.87B  
GEL,3.93B  
GEN,336.2M  
GENC,229.31M  
GEO,3.81B  
GEOS,206.04M  
GERN,485.49M  
GES,814.37M  
GEVO,13.83M  
GFF,947.11M  
GFN,130.88M  
GGG,6.14B  
GGP,20.34B  
GHC,3.36B  
GHDX,1.01B  
GHL,646.99M  
GHM,212.14M  
GIFI,135.88M  
GIG,207.66M  
GIGA,7.93M  
GIII,930.72M  
GILD,83.94B  
GIMO,1.38B  
GIS,32.4B  
GK,1.92B  
GLAD,251.86M  
GLDD,272.66M  
GLF,9.11M  
GLOW,10.62M  
GLP,655.42M  
GLPI,7.53B  
GLRI,582.65k  
GLT,786.23M  
GLUU,353.02M  
GLW,26.73B  
GM,49.43B  
GME,2.45B  
GMED,2.93B  
GMO,32.49M  
GNBC,705.13M  
GNC,497.93M  
GNCA,171.6M  
GNCMA,1.28B  
GNE,183.59M  
GNMK,612.6M  
GNRC,2.21B  
GNTX,5.41B  
GNVC,16.35M  
GNW,1.82B  
GOGO,1.1B  
GOOD,507.44M  
GOOGL,652.36B  
GORO,200.64M  
