symbol,gics8,textgics_015
GPIC,25301010,6
H,25301020,6
HLT,25301020,6
HPT,60101030,6
HST,60101030,6
HT,60101030,6
INN,60101030,6
LHO,60101030,6
LQ,25301020,6
LVS,25301010,6
MAR,25301020,6
MCRI,25301010,6
MCS,25301020,6
MGM,25301010,6
MTN,25301030,6
NYNY,25301010,6
PEB,60101030,6
PENN,25301010,6
PNK,25301010,6
RHP,60101030,6
RLH,25301020,6
RLJ,60101030,6
SHO,60101030,6
SNOW,25301030,6
SOHO,60101030,6
STAY,25301020,6
STKS,25301040,6
TRIP,25502020,6
UWN,25301010,6
VAC,25301020,6
WYN,25301020,6
WYNN,25301010,6
XHR,60101030,6
AAC,35102020,7
AAMC,60102040,7
AAWW,20301010,7
ABAX,35101010,7
ABC,35102010,7
ABCD,25302010,7
ABG,25504050,7
ABMD,35101010,7
ABTL,45101010,7
ACHC,35102020,7
ACTG,20202020,7
ADK,35102020,7
ADUS,35102015,7
AHC,25401040,7
AHGP,10102050,7
AIQ,35102015,7
AIR,20101010,7
AL,20107010,7
ALCO,30202010,7
ALGN,35101020,7
ALGT,20302010,7
ALK,20302010,7
ALQA,35101020,7
ALR,35101020,7
AMC,25401030,7
AMCX,25401020,7
AMD,45301020,7
AMED,35102015,7
AMRK,40201040,7
AMS,35102015,7
AMT,60101080,7
AMTD,40203020,7
AMTX,10102030,7
AMZN,25502020,7
AN,25504050,7
ANGI,45101010,7
APDN,45203010,7
APEI,25302010,7
APU,55102010,7
ARCB,20304020,7
ARII,20106010,7
ARLP,10102050,7
ARMK,25301040,7
ASCMA,25302020,7
ASFI,40202010,7
ASGN,20202010,7
ATEC,35101010,7
ATLC,40202010,7
ATRC,35101010,7
ATSG,20301010,7
ATVI,45103030,7
AUMN,15104040,7
AVD,15101030,7
AVGR,35101010,7
AVHI,25201030,7
AWX,20201050,7
AXDX,35203010,7
AXGN,35101010,7
AXR,20201070,7
AYR,20107010,7
BABY,35101010,7
BBGI,25401020,7
BCOR,45101010,7
BDR,45201020,7
BEAT,35102015,7
BFAM,25302010,7
BID,25302020,7
