symbol,gics8,hier.text_068
ERIE,40301040,15
ERII,20106020,11
ERN,10102020,19
ES,55101010,27
ESBA,60101010,24
ESCA,25202010,30
ESE,20106020,3
ESIO,45203010,13
ESL,20101010,26
ESP,20104010,40
ESPR,35201010,4
ESRT,60101010,24
ESRX,35102015,0
ESS,60101060,62
ESSA,40102010,28
ESTE,10102020,19
ESXB,40101015,28
ETE,10102040,25
ETFC,40203020,48
ETH,25201020,43
ETM,25401020,46
ETR,55101010,54
ETRM,35101010,2
ETSY,25502020,7
EV,40203010,21
EVA,10102050,16
EVBS,40101015,28
EVC,25401020,52
EVEP,10102020,19
EVER,40102010,39
EVHC,35102015,36
EVI,20107010,11
EVLV,25502020,43
EVOK,35202010,4
EVOL,45103010,8
EVR,40203020,21
EVTC,45102020,38
EW,35101010,2
EWBC,40101015,28
EXA,45103010,3
EXAC,35101010,2
EXAS,35201010,20
EXC,55101010,27
EXEL,35201010,9
EXLS,45102020,8
EXP,15102010,16
EXPD,20301010,33
EXPE,25502020,7
EXPO,20202020,23
EXPR,25504010,30
EXR,60101080,22
EXTR,45201020,56
EXXI,10102020,19
EYES,35101010,2
EZPW,40202010,7
F,25102010,17
FAC,40301040,15
FAF,40301040,15
FALC,45103020,8
FANG,10102020,19
FARM,30202030,6
FARO,45203010,3
FAST,20107010,11
FATE,35201010,9
FB,45101010,7
FBC,40102010,39
FBHS,20102010,18
FBIO,35201010,9
FBIZ,40101015,28
FBMS,40101015,28
FBNC,40101015,28
FBNK,40101015,44
FBP,40101015,39
FBRC,40203020,21
FC,20202020,8
FCBC,40101015,39
FCCO,40101015,28
FCCY,40101015,28
FCEL,20104010,11
FCF,40101015,28
FCFS,40202010,7
FCH,60101030,37
FCN,20202020,8
FCNCA,40101015,28
FCSC,35201010,4
FCX,15104025,59
FDEF,40102010,39
FDP,30202010,34
FDS,40203040,8
FDUS,40203010,35
FDX,20301010,33
FE,55101010,27
FEIM,45203010,3
FELE,20106020,26
FELP,10102050,64
FENX,25501010,17
FET,10101020,29
FEYE,45103020,18
FF,15101050,16
FFBC,40101015,39
FFG,40301020,45
FFIC,40101015,44
FFIN,40101015,28
FFIV,45201020,56
FFKT,40101015,28
FFNW,40101015,28
FGEN,35201010,4
FGL,40301020,6
FGP,55102010,14
FHCO,30302010,4
FHN,40101015,39
FIBK,40101015,39
FICO,45103010,8
FIG,40203010,21
FII,40203010,21
FINL,25504010,30
FIS,45102020,38
FISI,40101015,39
FISV,45102020,38
FITB,40101015,39
FIVE,25504040,43
FIVN,45101010,56
FIX,20103010,23
FIZZ,30201030,6
FL,25504010,30
FLIC,40101015,28
FLIR,45203010,2
FLKS,35202010,4
FLL,25301010,66
FLO,30202030,34
FLR,20103010,23
FLS,20106020,26
FLT,45102020,11
FLWS,25502020,7
FLXN,35201010,4
FLXS,25201020,42
FMBI,40101015,39
FMC,15101030,16
FMI,35201010,20
FMNB,40101015,28
FMSA,10101020,11
FNB,40101015,39
FNF,40301040,15
FNFV,40201030,15
FNGN,40203010,21
FNHC,40301040,15
FNJN,45103020,18
FNLC,40101015,44
FNSR,45201020,12
FNWB,40101015,28
FOE,15101050,16
FOLD,35201010,4
FONR,35101010,2
FOR,60102030,22
FORD,25203010,17
FORM,45301010,13
FORR,45102010,8
FOSL,25203010,43
FOXA,25401030,52
FOXF,25101010,17
FPI,60101080,6
FPO,60101010,24
FPP,10102020,19
FPRX,35201010,9
FR,60101020,24
FRAN,25504010,30
FRBA,40101015,44
FRBK,40101015,28
FRC,40101015,39
FRD,15104050,61
FRED,25503020,43
FRGI,25301040,51
FRME,40101015,28
FRP,50101020,31
FRPH,60102020,22
FRPT,30202030,6
FRT,60101070,60
FSAM,40203010,21
FSB,40101015,28
FSBK,40101015,28
FSC,40203010,35
FSFR,40203010,35
FSIC,40203010,35
FSLR,45301020,54
FSNN,50101010,56
FSP,60101040,24
FSS,20106010,11
FSTR,20106020,11
FTAI,20107010,29
FTD,25502020,7
FTEK,20201050,11
FTK,15101050,11
FTNT,45103020,18
FTR,50101020,31
FUEL,45101010,46
FUL,15101050,16
FULT,40101015,28
FUN,25301030,6
FUNC,40101015,28
FVE,35102020,58
FWRD,20301010,33
GABC,40101015,39
GAIA,25502020,52
GAIN,40203010,35
