tic,weburl
SJW,www.sjwcorp.com/
CHK,www.chk.com
ARR,www.armourreit.com
RLOC,www.reachlocal.com
SPA,www.sparton.com
AEY,www.addvantagetech.com
LMNX,www.luminexcorp.com
SXC,www.suncoke.com
JBL,www.jabil.com
CSFL,www.centerstatebank.com
XYL,www.xyleminc.com
ADS,www.alliancedata.com
WTW,www.weightwatchersinternational.com
ROK,www.rockwellautomation.com
DORM,www.dormanproducts.com
PSB,www.psbusinessparks.com
GNMK,www.genmarkdx.com
VPG,www.vishaypg.com
OCR,www.omnicare.com
OC,www.owenscorning.com
PATK,www.patrickind.com
INAP,www.internap.com
MTEX,www.mannatech.com
UGI,www.ugicorp.com
HLIT,www.harmonicinc.com
WGP,www.westerngas.com
KFRC,www.kforce.com
ERIE,www.erieinsurance.com
NPO,www.enproindustries.com
CME,www.cmegroup.com
WHG,www.westwoodgroup.com
PFS,www.providentnj.com
LYTS,www.lsi-industries.com
HDS,ir.hdsupply.com
CHMG,www.chemungcanal.com
HLS,www.healthsouth.com
DSCO,www.discoverylabs.com
SHO,www.sunstonehotels.com
ATSG,www.atsginc.com
CIDM,www.cinedigm.com
EFX,www.equifax.com
DYN,www.dynegy.com
BELFB,www.belfuse.com
JACK,www.jackinthebox.com
CYTR,www.cytrx.com
SNPS,www.synopsys.com
JVA,www.coffeeholding.com
SBNY,www.signatureny.com
UVE,www.universalinsuranceholdings.com
SRI,www.stoneridge.com
MOS,www.mosaicco.com
FTD,www.ftdcompanies.com
FDEF,www.fdef.com
BSRR,www.sierrabancorp.com
NAV,www.navistar.com
AAME,www.atlam.com
DGICA,www.donegalgroup.com
CBU,www.communitybankna.com
URBN,www.urbanoutfittersinc.com
FSGI,www.fsgbank.com
ACCO,www.accobrands.com
ROLL,www.rbcbearings.com
CLUB,www.mysportsclubs.com
DOV,www.dovercorporation.com
DYNT,www.dynatronics.com
FULT,www.fult.com
BEN,www.franklinresources.com
GMT,www.gatx.com
TSCO,www.tractorsupply.com
ATHX,www.athersys.com
GEOS,www.geospace.com
ZIOP,www.ziopharm.com
CVRR,www.cvrrefining.com
IOSP,www.innospecinc.com
PFBX,www.thepeoples.com
BX,www.blackstone.com
AETI,www.aeti.com
